,400212,401225,403187,405780,406141,406716,410359,416279,416343,418224,426330,438042,449123,449774,451957,458836,468232,471279,473249,474171,479213,482110,483410,483477,516529,517617,522865,533004,550507,554398,559699,564156,567151,567173,585284,595607,596233,596651,598662,599933,706271,708842,709732,713360,721247,726261,730968,738048,774246,775125,775943,779255,B02L48,B058TZ,B09CBL,B0C2CQ,B0DJ8Q,B0HZL9,B0NJJ1,B0Z5YZ,B11HK3,B11ZRK,B13X01,B15C55,B164FY,B1FW75,B1HDJL,B1L3CS,B1RR82,B1XH02,B1Y1SQ,B1Y9TB,B1YXBJ,B28DTJ,B39GNW,B3B8D0,B4PH0C,B62G1B,B86S2N,B929F4,BD0Q39,BF0LBX,BF4446,BFYM46,BJ2KSG,BJDS7L,BLRB26,BMD8F9,BNDPYV,BNFWR4,BNG8PQ,BNHKYX,BWT6H8,BYPBS6,BYQ7HZ,BYTBXV,BYWLC6,BYYHL2,BZ1HM4,BZ5739,rendimento,data
10,37.861774,129.35632,21.97691,252.67752,343.8874,1685.276,3.5891037,123.264275,119.79124,31.70141,19.189365,55.48885,47.210503,74.15215,103.05236,120.13285,172.39917,68.5839,19.52284,130.38115,156.72653,112.07085,77.90985,29.264591,54.58928,15.304127,53.461964,146.49374,546.6899,23.138382,83.899414,20.4966,66.02183,83.69445,42.268543,3.0881543,16.36312,30.7449,39.06212,178.7759,109.97565,25.387316,96.31125,22.506552,121.21461,12.789879,51.304127,36.051243,148.48647,42.1347,104.19105,100.88882,23.097443,136.53014,31.234543,15.087775,40.355183,107.49328,14.5412,100.934364,4.146775,66.0446,97.67768,56.923615,194.26222,16.431442,5.502198,72.30745,28.39918,95.5597,15.087774,75.529976,113.50768,23.935474,9.417049,12.793294,17.949078,44.432076,49.339874,183.46735,25.820023,82.55575,43.2706,161.6954,90.78856,,53.97438,,42.154675,56.160683,43.61221,133.00017,79.627426,23.013126,73.33228,13.835205,22.990355,78.057884,751.542,13.245358,1160.7225,2019-02-28
11,35.762775,132.38402,22.3784,269.25943,368.1825,1476.5477,3.846421,119.864235,121.38008,31.046803,18.440245,53.593628,46.32879,69.93109,111.72358,118.3484,179.65599,66.147095,20.054344,133.50687,153.11592,108.220276,78.532135,29.003216,54.233654,16.281324,48.81029,149.05833,574.001,22.030317,85.965385,18.695452,68.15699,88.4132,40.546116,3.173174,14.78232,28.941458,39.965588,179.88057,110.21896,25.185526,97.26127,21.929724,109.34313,12.093095,47.84464,36.279285,147.99164,40.967995,100.49507,105.637726,22.353569,137.26842,31.417341,14.9114485,40.20993,109.09611,13.687542,95.28506,4.0584793,66.989235,96.183334,55.60353,193.57935,16.034298,5.3571177,89.109375,27.936508,97.37355,14.765477,77.12857,115.70459,23.467566,9.544226,13.2608595,17.302244,45.554028,48.282547,187.74052,26.639616,82.75404,44.45363,164.0933,88.693924,,57.93906,,41.43317,59.286484,41.579136,123.513504,75.92384,20.276426,76.016945,13.098045,21.390293,83.94427,783.7493,12.108814,1170.5487,2019-03-29
12,37.588276,136.5909,23.601938,274.68356,391.18027,1511.8241,3.7010467,119.2985,121.14766,33.54255,19.155825,59.26261,52.538418,73.98861,111.845856,129.0486,174.10074,68.160965,20.02891,133.13916,166.27113,120.083,84.568016,28.992508,67.86958,15.650575,57.066036,158.07472,590.6089,23.579527,79.255905,19.466558,69.68512,86.84303,42.09349,3.0662348,18.351461,31.62615,41.701454,191.97589,114.59157,26.611021,95.50605,22.254986,121.59594,13.70616,53.17721,40.838303,149.16516,44.995663,101.64748,107.856155,21.613182,145.57892,31.917532,14.798843,40.735653,114.14328,14.389789,102.49922,4.2740674,73.42826,104.33716,55.525074,203.51913,16.77688,5.881433,95.30432,29.28389,100.8854,16.272562,80.78005,120.78089,25.305407,9.918196,14.036767,19.375542,47.080605,52.672897,207.93465,24.050219,79.28952,38.664146,171.74727,84.836975,,60.5178,,45.724552,62.927307,43.505573,127.98394,82.3147,21.660887,85.95769,13.375554,22.929522,88.826675,813.1799,12.726667,1217.7301,2019-04-30
13,34.912586,127.99424,23.078186,267.88974,377.3189,1244.729,3.549384,109.83033,111.54643,31.190655,16.952734,54.491714,51.995567,65.59064,115.33522,114.72233,175.84442,60.08575,20.562616,137.06505,148.20857,93.69456,78.89599,26.889263,58.36966,15.6454735,51.482975,148.04141,519.2314,21.384378,76.31069,18.765654,69.69146,80.50064,36.818127,3.0510905,15.261023,25.0283,38.718304,191.6682,114.778046,24.604847,93.003654,19.157503,114.945206,11.399799,45.549053,36.12166,142.6368,42.941597,115.2795,104.77119,23.190062,131.159,31.045794,13.873658,42.240765,112.32649,13.996238,83.709984,3.4979296,67.01701,95.36607,51.97328,170.71843,15.021439,4.5788646,81.74872,27.635881,98.57539,15.183018,79.56459,112.95456,23.523932,9.917715,13.344342,19.471655,45.57692,48.67481,188.65948,22.43744,81.51471,29.753147,150.82729,84.155716,,59.952034,,45.37633,60.063473,37.91019,123.46999,69.81436,14.776282,88.25652,11.154644,23.223057,80.91296,803.2235,10.803624,1138.9661,2019-05-31
14,37.090714,141.98558,24.393095,285.2694,426.2528,1439.4431,3.7196403,123.73062,124.52778,32.672173,18.613544,52.87448,54.38909,65.640434,119.57401,127.03314,184.54254,62.964252,21.240788,144.39984,163.67665,103.74468,90.83069,27.570345,65.20768,15.789461,55.004036,159.77365,592.28986,22.730446,83.0413,19.336823,72.90597,86.44631,42.9897,3.07476,17.76528,25.304134,42.620514,200.65656,117.06864,26.30628,98.25567,19.757097,130.67729,12.008646,47.561977,39.03237,149.86609,48.53361,112.46789,111.76183,23.393015,146.73439,32.694946,15.191592,43.083096,123.78755,12.623598,93.131065,3.5772722,73.224846,99.00727,56.114372,176.74176,15.40227,4.030213,78.39499,30.303469,102.56032,16.131102,84.8406,127.3903,24.734735,10.271976,14.451372,20.150013,51.08657,52.05455,209.24312,22.523186,82.96158,32.114162,150.0369,94.11043,,60.811924,,44.299324,72.8832,40.313522,140.30016,74.07905,17.920156,93.83712,11.518962,24.233665,88.644196,772.7897,11.611205,1220.1559,2019-06-28
15,36.051895,142.582,25.44119,269.4428,417.859,1380.6161,3.6138248,113.622475,128.31935,33.402,18.076027,49.780113,49.32362,64.88895,117.35237,111.84103,177.08627,56.271236,20.50704,149.08426,146.76639,103.39033,86.93427,28.035412,82.413864,14.947395,50.70424,153.6492,522.74133,20.820581,78.62831,19.378729,72.99451,84.017166,44.870018,2.8736854,18.610481,24.723047,46.36233,211.10065,115.403915,25.496859,95.17344,18.093107,136.55852,12.002452,46.96321,38.69622,154.31725,47.43605,104.43692,108.13341,24.264578,144.575,31.704065,15.498528,40.30513,125.59153,12.486781,90.964775,3.4626267,71.10172,99.49342,52.368767,173.35637,15.682239,4.0550027,83.23779,31.754168,103.813416,16.261206,87.29056,126.52273,25.151707,10.332352,14.785952,19.635975,50.592896,54.18918,225.79753,22.774597,85.230774,31.665098,134.7214,95.14003,,58.264225,,42.977245,72.14832,37.889,141.51314,78.383865,16.164341,90.40807,10.753217,23.893562,101.39735,764.90576,11.214165,1203.6855,2019-07-31
16,38.04819,138.03069,23.952188,273.77078,399.09302,1425.0176,3.7003162,115.79645,120.20145,33.345848,16.131777,48.036526,45.745926,57.969803,119.26538,105.2795,191.28712,57.441204,20.54633,151.31175,141.66083,101.00665,83.871216,28.00479,84.17955,15.197251,46.748062,141.1252,484.99054,18.192652,74.818924,17.069376,72.15389,86.029655,43.235073,3.1716,17.757658,25.38932,46.28814,218.70827,113.53888,22.98309,93.562195,17.109129,147.84282,11.441989,45.189796,36.14303,158.80026,43.409744,104.88306,106.556946,23.939602,145.5302,27.779032,15.224782,39.691708,124.55137,12.185331,87.83571,3.1670556,70.72228,103.78181,49.98574,173.0064,14.382326,3.878603,80.78771,30.901075,109.57438,16.529762,89.707825,126.79393,23.963202,11.034526,15.555157,19.321894,48.785378,53.630875,222.72781,23.440105,81.43744,31.90321,131.15887,89.71884,,62.154552,,45.856052,69.1585,33.544075,130.16776,81.05941,14.417565,95.64356,10.067628,23.963202,94.92775,725.50354,9.577572,1171.8291,2019-08-30
17,40.06485,129.95183,25.358051,280.07236,397.5414,1415.0796,3.795309,115.0161,117.85062,34.439415,17.637121,49.18982,48.840958,64.99772,116.978455,111.63648,178.13867,57.40993,20.09146,132.78636,138.05898,103.56899,87.76109,27.451237,92.10009,15.693429,49.157112,142.54366,509.723,19.329245,72.607315,17.508612,73.02159,92.73241,41.70015,3.1190622,19.329245,27.407627,45.4123,216.84077,112.290596,25.543386,96.046616,19.045889,144.17896,12.144828,48.69923,39.2472,157.20683,43.12152,93.99704,108.104225,23.1016,157.47939,29.326378,16.331194,38.444283,120.35807,11.196354,93.233894,3.5219212,71.3863,103.69982,52.204224,177.92062,15.072014,4.148211,72.32386,29.762457,107.73356,16.876295,88.10996,129.43646,24.09342,10.782078,15.726134,19.849329,48.001503,55.46937,247.74792,25.02554,82.746185,37.753624,145.81424,89.16746,73.424965,60.124527,,46.486126,63.122578,35.47511,113.489815,91.95485,14.07012,79.802635,11.507061,23.799065,95.305275,658.9169,10.470281,1198.3151,2019-09-30
18,42.394703,143.27177,26.29587,292.07715,426.7361,1388.9843,4.0234756,97.775566,112.62486,36.459442,18.200237,43.00831,51.833096,70.15208,120.936455,121.717415,184.64008,51.05214,18.750273,133.76643,138.03635,108.77589,92.88902,27.846622,100.47543,16.109985,55.380863,151.7842,569.20465,19.836258,80.61688,17.019241,73.65521,92.175,42.97484,3.101507,22.69232,28.393293,42.940517,226.70007,110.00309,26.42417,100.3862,18.52699,152.62093,13.03637,52.22358,40.68776,171.58698,38.981834,103.532326,102.03734,24.419466,158.25496,29.045946,16.72917,40.08658,118.5378,10.321993,102.23816,3.5343966,78.07319,107.459404,52.58616,190.10674,15.93148,4.586437,59.062508,33.357933,112.23439,16.784954,82.95974,132.87392,25.537226,11.401942,15.591208,18.723043,52.658676,57.612167,262.17773,24.906887,81.832924,41.245586,154.68486,92.09691,68.98064,59.073666,,50.672825,60.74714,38.121758,121.38271,101.62872,14.760048,81.442444,13.477052,24.053411,80.37143,702.1901,11.299303,1224.861,2019-10-31
19,40.884415,147.08684,25.624424,285.24265,449.089,1361.711,3.95486,98.04319,118.36411,38.2933,16.808546,44.03784,53.939194,72.92597,128.34265,120.07314,183.80342,47.913486,18.26355,128.89395,141.33328,114.67041,96.58776,27.476793,111.30747,16.539001,58.28344,157.67181,602.79144,19.758593,81.10726,16.516949,71.84542,93.18073,42.813965,3.0828698,24.58798,31.490257,45.545185,237.059,116.65509,27.228708,101.54947,18.437283,155.46661,13.688779,56.199524,40.520554,172.88768,37.732365,127.40544,103.68851,24.821924,163.68097,28.667603,15.833335,40.466263,128.23239,10.2806425,103.71055,3.5397842,79.03437,109.26766,52.527863,195.7115,16.290915,4.182162,60.75326,35.50372,109.13535,15.982187,82.38628,135.67494,26.197775,10.97087,14.813431,18.833607,49.672127,60.069653,272.34222,25.784302,90.46834,42.97935,156.45892,95.838,68.21786,59.319878,,52.549915,64.77775,38.414585,148.851,112.78078,17.121174,89.97216,15.304089,24.235147,79.24387,767.6301,11.515555,1245.9049,2019-11-29
20,42.5203,146.46379,26.614473,296.34,464.9395,1313.3251,4.2390695,103.85369,122.24025,40.03957,18.663298,45.3041,61.12012,75.27485,124.70974,122.464745,178.92648,47.34705,17.917904,122.91375,135.10818,115.954254,102.70875,28.982948,112.41838,14.7272,61.108902,164.50238,656.887,19.901924,79.58526,16.781374,72.98495,100.59845,46.864372,2.9532976,26.906322,34.814335,47.87995,244.0315,118.592125,28.185976,105.47011,19.972006,152.4355,14.508312,59.301678,40.97125,179.151,41.559982,129.70488,106.54771,25.969297,154.51212,29.370214,16.164,43.954838,130.32225,11.144178,106.30074,3.7144516,81.5384,114.494995,55.227,197.67224,16.725248,4.442855,69.12355,38.456844,111.127495,16.461462,82.95275,141.6595,26.109348,11.786249,15.136911,20.96776,51.747246,59.1333,296.00327,25.02614,89.070366,48.671604,157.87961,101.7434,74.67992,57.505672,,55.473953,70.88587,37.962948,161.191,119.61866,17.558146,92.26949,16.422174,25.211348,81.61698,820.5475,11.99728,1284.5778,2019-12-31
21,39.59599,147.65659,29.566778,279.15558,438.07147,1216.8037,4.899906,109.95561,124.50627,37.59014,17.55842,44.361244,61.671333,73.42933,127.77547,116.36101,173.4333,39.05851,18.111696,105.50064,116.965485,103.661026,100.31426,27.439034,121.957405,14.190502,57.58207,173.65494,615.051,18.030416,92.06925,16.961002,75.268936,96.35799,41.036648,2.8070705,28.02638,32.387146,44.96731,251.33978,104.835724,26.685457,100.535904,18.133392,148.77586,13.553286,53.24347,37.93923,188.83728,36.38612,131.54335,108.95822,23.888561,161.74179,26.31975,17.243591,49.26239,122.23446,12.36197,92.002754,3.1471717,80.23368,116.083954,48.92149,189.5022,15.115848,4.2366486,76.06685,34.664494,111.04164,17.226969,80.23369,144.89716,27.60526,13.298399,16.434605,21.805635,54.069077,55.155113,281.75983,24.602041,99.12849,46.067875,135.86531,94.52946,72.28789,58.402138,,53.858524,70.64775,34.797478,144.17682,111.71867,14.801119,94.307816,16.51218,26.508142,75.82304,920.9142,10.888064,1241.4388,2020-01-31
22,38.973007,118.74245,28.482811,264.72647,407.3602,1031.4446,4.5304337,99.739265,108.98822,33.46977,16.459383,38.423782,62.66657,65.92897,126.32175,105.71483,160.81308,29.103436,15.873435,100.23357,119.03206,90.16078,99.40973,25.286322,115.28233,13.390105,51.3086,155.97992,555.596,15.543068,91.78648,17.185251,72.84921,92.19291,35.88636,2.4176886,26.813166,28.109337,41.686375,241.43933,95.27956,23.01802,89.941086,14.912688,135.21921,11.874246,48.095634,34.71102,176.52092,36.001606,138.73425,99.102165,20.898878,136.31766,21.320917,16.509705,45.315002,111.767296,13.829487,93.43416,2.8146708,75.81502,105.91255,42.158516,146.97263,13.587827,4.0280166,74.013565,33.19516,99.93699,17.470846,69.99324,134.99951,24.220823,13.401091,15.685866,19.953968,51.81389,46.003086,272.52548,23.265173,91.55581,41.488457,119.73106,79.253174,69.93832,52.3027,,49.957508,75.62829,33.8762,136.20781,103.69189,14.099706,87.10709,13.461505,23.803413,55.72437,875.6844,9.456557,1122.594,2020-02-28
23,29.318518,65.11081,21.368944,262.133,371.36426,821.8402,3.9228015,83.80795,84.48825,27.266663,11.117989,28.66017,53.436077,46.106445,115.4307,88.94308,142.039,19.430101,14.465288,109.34096,113.21626,72.83545,86.2219,21.423803,100.22281,12.217878,35.29853,148.12875,522.1813,9.78747,86.682755,15.816858,70.4215,87.93361,27.43125,2.3876162,21.807842,16.840593,39.69967,208.25804,67.63448,17.323383,78.585045,12.489285,107.83772,7.3406024,30.185347,24.320545,132.43806,31.358915,135.67496,83.56656,15.108084,87.93361,17.882982,10.327316,38.804806,113.56538,7.884838,69.12675,2.1540806,64.167175,70.77262,38.831676,95.954506,11.405914,3.2555406,73.71326,28.22127,82.73265,18.03879,64.342735,127.99421,18.993397,12.047804,10.178091,16.955528,41.79425,41.59675,266.02826,23.354965,112.57784,34.94741,56.57421,65.84597,69.291336,49.162285,,49.485973,58.922325,26.99235,134.96175,89.074585,9.503283,75.38107,10.103478,21.495127,44.40571,845.54083,5.246501,941.56116,2020-03-31
24,30.788885,63.39597,21.341923,290.5831,386.0385,815.99854,4.1213627,75.72904,93.91102,30.175516,12.153176,29.715488,50.93145,53.976383,114.67791,97.59123,152.35625,19.831503,15.387175,111.50155,109.33087,78.02917,91.413734,21.582886,110.02288,12.196166,40.12084,146.27733,504.0571,10.323203,91.50136,14.781074,73.51654,97.68981,27.732996,2.3132737,25.969563,15.6189785,42.634983,223.98886,79.409256,17.73948,79.82546,14.03682,123.38555,7.975975,31.407728,26.517212,130.45023,34.179585,148.9608,85.01719,17.172968,92.24617,16.953053,10.847851,37.94366,122.39978,7.967212,82.9142,2.5607781,67.38285,81.81891,35.980606,97.919815,11.517079,2.3669434,74.39278,31.347486,81.81891,16.884048,69.28868,127.16433,20.744982,12.26736,11.298018,17.711151,40.27418,35.980602,296.44296,24.271847,124.097496,43.16577,58.839516,75.79476,75.77285,49.923775,,55.312653,67.88669,28.926872,150.60374,122.34501,10.955191,101.884796,11.39112,22.661757,45.871162,987.08435,5.4852624,985.62756,2020-04-30
